"Quarter","1a. Electricity","1b. Stationary Energy","1c. Transport","1d. Fugitive Emissions","2. Industrial Processes","3. Agriculture","4. LULUCF","5. Waste"
"1999-09-01","43.749324011292352","18.345525778223696","18.033101596133232","2.0899116278435095","5.5647471402699953","0.41710679584059468","5.750663493487453","0.0071514942016065227"
"1999-12-01","43.127044917622449","18.045301385436559","18.232268254052574","2.0054759657584778","5.2939238420636041","0.43024566516496082","6.2497169716478131","0.0070583934937711616"
"2000-03-01","42.927653903404348","17.700286480405431","17.80638365488624","1.9419754102134148","5.0885730223949306","0.42138079165191578","5.6126816608676338","0.007021605720418574"
"2000-06-01","44.330639595625847","17.97079918691723","17.579871269107585","2.1035815702802791","5.1615917750770617","0.43046387587742685","7.4117619165983388","0.0070384533369661157"
"2000-09-01","44.854570066258532","18.443205466170383","18.105974870756128","2.186367319721481","5.24420139269812","0.45136355508315457","10.878932508464651","0.0071304123878813165"
"2000-12-01","44.825699861334151","18.130016701364674","18.186497798571061","2.0578769768671372","5.1804741891534309","0.45851893024625362","12.587422835805789","0.0071185595145673887"
"2001-03-01","45.55673433676963","17.715240798035957","17.76817958230939","2.0151670469842271","5.1174444901607705","0.44940968736228853","12.233505961712142","0.0070362791257319512"
"2001-06-01","46.899061270373508","18.099205478950481","17.649884620580242","2.1392971084179249","5.1988682749193966","0.45899888855694981","11.414491625264946","0.0070685737069914314"
"2001-09-01","46.393148393630241","18.810010852192647","18.382120462743924","2.1848370611715784","5.283861257121532","0.48044760737130338","9.9407449212794532","0.0071798900011193784"
"2001-12-01","44.9439110813031","18.637400183260837","18.565630619437233","2.04678700108081","5.1498667425542886","0.48632616781926108","9.0491798373984018","0.0071571930769630185"
"2002-03-01","44.85419685453747","18.285366415410746","18.096099056760213","1.9944098727720465","5.0760928110488184","0.47924643278189938","8.9631202224119946","0.0070755963443336093"
"2002-06-01","46.899683865609745","18.592582250499511","18.048622527489741","2.0467108299250354","5.2536947977464443","0.48035101346600156","9.7869348263976139","0.0071085663720441587"
"2002-09-01","47.567615434860642","19.269509060687867","18.933276733368817","2.0069673158889652","5.5191926493781995","0.48584669883149","11.410288541276337","0.0072214476925513225"
"2002-12-01","46.341465781701345","19.184469437991808","19.182326597726586","1.8231115030311205","5.614597091700289","0.48323461783105814","12.19135921848445","0.007199105891795122"
"2003-03-01","45.171175411949285","18.79157624398632","18.664970938115335","1.7789145568692788","5.57701264093464","0.47629641453939064","12.147419185208443","0.0071185479626805683"
"2003-06-01","46.578797702451311","19.052288915823247","18.658113785596836","1.8708399809718708","5.6482012259020351","0.48534247815109327","11.165650453735246","0.0071451216238553926"
"2003-09-01","47.516596854161151","19.720345576330129","19.655370522860885","1.8977670125682047","5.8282972357125651","0.505540721091822","9.39846786625652","0.0072403678655051018"
"2003-12-01","48.002899163629529","19.592425607727098","19.956891857166763","1.75768129368435","5.8967378098133247","0.51272468695743922","8.392762570414277","0.0072403914313968051"
"2004-03-01","48.549985946454591","19.114364813776021","19.43186645611754","1.7091417541408427","5.7935304312157516","0.50814769170475771","8.134350128095365","0.0071788555854876727"
"2004-06-01","49.863978659862937","19.416479088641715","19.3798336167912","1.818982191251425","5.5696861941135865","0.50324298822871316","9.8034430854321588","0.0071974715652137287"
"2004-09-01","49.523250716619387","20.228707449944945","20.160446201614118","1.8934452555604051","5.3528343018097528","0.49822895948050083","13.040817349592182","0.0072941406773477085"
"2004-12-01","48.769850302874353","20.137473945533689","20.073639289071618","1.7867515486200083","5.267774501727974","0.49140300553338567","14.603342402012284","0.0072833780301785169"
"2005-03-01","48.064872218872658","19.671573285910917","19.573981605400036","1.7379022150858559","5.3018067650591041","0.48986087485741436","14.175718127442972","0.0071965110861201258"
"2005-06-01","49.212306190483964","19.789368360230746","19.540856541562594","1.8430634610503898","5.4884052890954242","0.48136830390260787","13.707935105769801","0.0072390029487149647"
"2005-09-01","49.611726703743983","20.199959903308503","20.373782538998505","1.9171483070218502","5.7168527500023059","0.46865543267223236","12.917067961547096","0.0073708800902032153"
"2005-12-01","49.598513316754214","19.71297587438201","20.645698595264733","1.804107228811674","5.71549249821841","0.45661739855072153","12.352535413656524","0.0073568788601272713"
"2006-03-01","49.794611186533857","19.400343158143816","20.226892869357172","1.7624206113922873","5.601966221273214","0.4544522177334418","12.095224932321706","0.0072672133189626209"
"2006-06-01","51.033759283986647","19.703211034287211","19.866917962510538","1.9169464976196207","5.7684994557905567","0.45475477544613441","13.139402366667387","0.0073152300344173438"
"2006-09-01","51.26023078644107","20.302950415392097","20.589291419514979","2.0427011286324963","6.0441040699064024","0.45854706211625867","15.201600526616049","0.0074581329671059883"
"2006-12-01","51.272913214809378","20.017693131357902","20.94343839412641","1.9480951467378629","6.1083958251806578","0.45534486917995542","16.188893076497568","0.0074489670001774907"
"2007-03-01","50.301032257181461","19.663802633448451","20.721138278988786","1.90918463581278","6.04493332447932","0.45060554368300043","16.0761663051983","0.0073565924507057847"
"2007-06-01","50.8494926120543","19.957339049514115","20.615368053730318","2.079116255452746","6.0446807786220527","0.45261717784410593","15.040845423179983","0.00740665847846668"
"2007-09-01","51.365106945357169","20.757264553608781","21.124282584158337","2.1132873126454159","6.044961303199508","0.45927309537168076","13.205111611433464","0.0075480869844836143"
"2007-12-01","51.396095242453278","20.523737301238402","21.170124896459747","1.9211820213190354","5.9751556322071","0.45960021980955268","12.131397633201873","0.0075704487019645243"
"2008-03-01","50.2201266466562","20.1862550189108","20.861193628154577","1.8422010066610737","5.9615477170171376","0.45374384120151767","12.277905062266917","0.0074958760834027615"
